Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
0,CALM,98.88392639160156,-3.3003196716308594,-2.753248929977417,-1.015989899635315,-5.027700424194336,-8.750259399414062
1,CALM,99.16294860839844,-3.35355544090271,-2.772939920425415,-1.079063892364502,-5.081966876983643,-8.183549880981445
2,CALM,99.16294860839844,-3.352262496948242,-2.6830191612243652,-1.2364907264709473,-5.208009243011475,-8.723685264587402
3,CALM,98.88392639160156,-3.393946409225464,-2.8373169898986816,-1.2781397104263306,-5.177865028381348,-8.718238830566406
4,CALM,98.88392639160156,-3.3346335887908936,-2.5952048301696777,-1.6186585426330566,-5.3775482177734375,-8.913444519042969
5,CALM,98.46540069580078,-3.0910303592681885,-2.6782913208007812,-1.7777276039123535,-5.685334205627441,-8.61612319946289
6,CALM,99.0234375,-3.000608205795288,-2.5049636363983154,-1.848402976989746,-5.577628135681152,-8.414867401123047
7,CALM,99.0234375,-2.95629620552063,-2.4805920124053955,-1.9903178215026855,-5.416970729827881,-8.18961238861084
8,CALM,98.88392639160156,-3.056514263153076,-2.4271240234375,-1.7489269971847534,-5.31263542175293,-8.129377365112305
9,CALM,98.60491180419922,-3.174440622329712,-2.2183308601379395,-1.643028974533081,-5.458469867706299,-8.361892700195312
10,CALM,98.18638610839844,-2.9867911338806152,-2.167013168334961,-1.941009521484375,-5.5240092277526855,-8.769397735595703
11,CALM,97.69810485839844,-3.1985666751861572,-1.9722604751586914,-1.8561540842056274,-5.511373519897461,-9.259075164794922
12,CALM,96.72154235839844,-3.2278013229370117,-1.933159589767456,-1.7176107168197632,-5.327183723449707,-9.50117015838623
13,CALM,96.30301666259766,-3.1665966510772705,-1.7535514831542969,-1.8027554750442505,-5.813438892364502,-9.304025650024414
14,CALM,96.72154235839844,-3.0508458614349365,-1.7183520793914795,-1.5793813467025757,-6.283170223236084,-9.58056926727295
15,CALM,97.27957916259766,-2.9704158306121826,-1.7280656099319458,-1.6148719787597656,-6.302302837371826,-9.614392280578613
16,CALM,96.72154235839844,-2.949066162109375,-1.652678370475769,-1.735874056816101,-6.583792209625244,-9.439058303833008
17,CALM,96.72154235839844,-2.9576005935668945,-1.6910717487335205,-1.7473914623260498,-6.511837482452393,-9.595864295959473
18,CALM,96.16350555419922,-2.780137062072754,-1.5782161951065063,-1.7182116508483887,-6.591449737548828,-9.5288724899292
19,CALM,96.30301666259766,-2.847724437713623,-1.3969942331314087,-1.8066610097885132,-6.6992082595825195,-9.839862823486328
20,CALM,95.81473541259766,-2.9494080543518066,-1.500889778137207,-1.7327353954315186,-5.976345539093018,-10.389471054077148
21,CALM,93.86161041259766,-3.0678977966308594,-1.467208981513977,-1.8666402101516724,-6.025362491607666,-10.289840698242188
22,CALM,90.72265625,-3.0793190002441406,-1.4532418251037598,-1.8373953104019165,-5.107751369476318,-10.53721809387207
23,CALM,83.55224609375,-2.972482204437256,-1.4448014497756958,-1.8031878471374512,-4.954213619232178,-10.148357391357422
24,CALM,68.57421875,-2.991176128387451,-1.4520074129104614,-1.6161046028137207,-4.920173645019531,-10.446939468383789
25,CALM,59.566410064697266,-3.181919813156128,-1.0351942777633667,-1.830170750617981,-4.67110013961792,-10.138887405395508
26,CALM,59.126956939697266,-3.3214457035064697,-0.8517895936965942,-1.7619829177856445,-5.1912665367126465,-10.865997314453125
27,CALM,76.38671875,-3.471885919570923,-0.6883440613746643,-1.8376953601837158,-5.050095558166504,-11.081893920898438
